step 107: dis loss 0.325631, dis acc 0.000000, gan loss 0.315780, gan acc 0.000000
step 108: dis loss 0.357253, dis acc 0.000000, gan loss 0.362399, gan acc 0.000000
step 109: dis loss 0.345194, dis acc 0.000000, gan loss 0.356376, gan acc 0.000000
step 110: dis loss 0.331458, dis acc 0.000000, gan loss 0.341483, gan acc 0.000000
step 111: dis loss 0.338955, dis acc 0.000000, gan loss 0.333691, gan acc 0.000000
step 112: dis loss 0.330836, dis acc 0.000000, gan loss 0.345132, gan acc 0.000000
step 113: dis loss 0.319188, dis acc 0.000000, gan loss 0.326232, gan acc 0.000000
step 114: dis loss 0.346951, dis acc 0.000000, gan loss 0.326360, gan acc 0.000000
step 115: dis loss 0.313480, dis acc 0.000000, gan loss 0.322719, gan acc 0.000000
step 116: dis loss 0.302838, dis acc 0.000000, gan loss 0.271297, gan acc 0.000000
step 117: dis loss 0.333424, dis acc 0.000000, gan loss 0.337982, gan acc 0.000000
step 118: dis loss 0.329874, dis acc 0.000000, gan loss 0.347379, gan acc 0.000000
step 119: dis loss 0.338865, dis acc 0.000000, gan loss 0.345359, gan acc 0.000000
step 120: dis loss 0.341050, dis acc 0.000000, gan loss 0.368354, gan acc 0.000000
step 121: dis loss 0.332880, dis acc 0.000000, gan loss 0.351667, gan acc 0.000000
step 122: dis loss 0.319043, dis acc 0.000000, gan loss 0.342866, gan acc 0.000000
step 123: dis loss 0.344418, dis acc 0.000000, gan loss 0.337645, gan acc 0.000000
step 124: dis loss 0.341247, dis acc 0.000000, gan loss 0.337746, gan acc 0.000000
step 125: dis loss 0.335923, dis acc 0.000000, gan loss 0.365540, gan acc 0.000000
step 126: dis loss 0.334573, dis acc 0.000000, gan loss 0.351722, gan acc 0.000000
step 127: dis loss 0.331128, dis acc 0.000000, gan loss 0.342204, gan acc 0.000000
step 128: dis loss 0.334270, dis acc 0.000000, gan loss 0.341969, gan acc 0.000000
step 129: dis loss 0.334968, dis acc 0.000000, gan loss 0.323040, gan acc 0.000000
step 130: dis loss 0.334113, dis acc 0.000000, gan loss 0.354016, gan acc 0.000000
step 131: dis loss 0.329049, dis acc 0.000000, gan loss 0.350870, gan acc 0.000000
step 132: dis loss 0.342622, dis acc 0.000000, gan loss 0.338800, gan acc 0.000000
step 133: dis loss 0.326704, dis acc 0.000000, gan loss 0.380091, gan acc 0.000000
step 134: dis loss 0.322092, dis acc 0.000000, gan loss 0.333987, gan acc 0.000000
step 135: dis loss 0.357915, dis acc 0.000000, gan loss 0.410549, gan acc 0.000000
step 136: dis loss 0.375078, dis acc 0.000000, gan loss 0.371896, gan acc 0.000000
step 137: dis loss 0.336175, dis acc 0.000000, gan loss 0.372965, gan acc 0.000000
step 138: dis loss 0.337125, dis acc 0.000000, gan loss 0.352694, gan acc 0.000000
step 139: dis loss 0.318601, dis acc 0.000000, gan loss 0.313762, gan acc 0.000000
step 140: dis loss 0.322103, dis acc 0.000000, gan loss 0.318513, gan acc 0.000000
step 141: dis loss 0.341102, dis acc 0.000000, gan loss 0.342483, gan acc 0.000000
step 142: dis loss 0.331104, dis acc 0.000000, gan loss 0.343144, gan acc 0.000000
step 143: dis loss 0.323075, dis acc 0.000000, gan loss 0.357844, gan acc 0.000000
step 144: dis loss 0.338861, dis acc 0.000000, gan loss 0.357368, gan acc 0.000000
step 145: dis loss 0.307554, dis acc 0.000000, gan loss 0.342953, gan acc 0.000000
step 146: dis loss 0.315884, dis acc 0.000000, gan loss 0.309311, gan acc 0.000000
step 147: dis loss 0.329872, dis acc 0.000000, gan loss 0.348819, gan acc 0.000000
step 148: dis loss 0.340729, dis acc 0.000000, gan loss 0.362049, gan acc 0.000000
step 149: dis loss 0.337899, dis acc 0.000000, gan loss 0.342316, gan acc 0.000000
step 150: dis loss 0.338589, dis acc 0.000000, gan loss 0.346071, gan acc 0.000000
step 151: dis loss 0.343461, dis acc 0.000000, gan loss 0.340385, gan acc 0.000000
step 152: dis loss 0.352669, dis acc 0.000000, gan loss 0.354246, gan acc 0.000000
step 153: dis loss 0.337580, dis acc 0.000000, gan loss 0.378069, gan acc 0.000000
step 154: dis loss 0.336412, dis acc 0.000000, gan loss 0.339757, gan acc 0.000000
step 155: dis loss 0.324605, dis acc 0.000000, gan loss 0.364792, gan acc 0.000000
step 156: dis loss 0.338143, dis acc 0.000000, gan loss 0.337745, gan acc 0.000000
step 157: dis loss 0.321792, dis acc 0.000000, gan loss 0.317477, gan acc 0.000000
step 158: dis loss 0.324117, dis acc 0.000000, gan loss 0.324396, gan acc 0.000000
step 159: dis loss 0.326179, dis acc 0.000000, gan loss 0.333689, gan acc 0.000000
step 160: dis loss 0.328883, dis acc 0.000000, gan loss 0.329029, gan acc 0.000000
step 161: dis loss 0.330110, dis acc 0.000000, gan loss 0.337349, gan acc 0.000000
step 162: dis loss 0.333808, dis acc 0.000000, gan loss 0.344606, gan acc 0.000000
step 163: dis loss 0.332206, dis acc 0.000000, gan loss 0.351110, gan acc 0.000000
step 164: dis loss 0.328011, dis acc 0.000000, gan loss 0.335871, gan acc 0.000000
step 165: dis loss 0.329667, dis acc 0.000000, gan loss 0.355379, gan acc 0.000000
step 166: dis loss 0.334323, dis acc 0.000000, gan loss 0.341262, gan acc 0.000000
step 167: dis loss 0.315791, dis acc 0.000000, gan loss 0.325840, gan acc 0.000000
step 168: dis loss 0.312354, dis acc 0.000000, gan loss 0.322781, gan acc 0.000000
step 169: dis loss 0.323585, dis acc 0.000000, gan loss 0.317641, gan acc 0.000000
step 170: dis loss 0.338390, dis acc 0.000000, gan loss 0.339430, gan acc 0.000000
step 171: dis loss 0.332982, dis acc 0.000000, gan loss 0.324534, gan acc 0.000000
step 172: dis loss 0.312897, dis acc 0.000000, gan loss 0.348142, gan acc 0.000000
step 173: dis loss 0.348350, dis acc 0.000000, gan loss 0.318773, gan acc 0.000000
step 174: dis loss 0.311602, dis acc 0.000000, gan loss 0.308408, gan acc 0.000000
step 175: dis loss 0.316388, dis acc 0.000000, gan loss 0.312228, gan acc 0.000000
step 176: dis loss 0.316697, dis acc 0.000000, gan loss 0.333964, gan acc 0.000000
step 177: dis loss 0.315707, dis acc 0.000000, gan loss 0.352895, gan acc 0.000000
step 178: dis loss 0.314445, dis acc 0.000000, gan loss 0.320734, gan acc 0.000000
step 179: dis loss 0.336673, dis acc 0.000000, gan loss 0.353817, gan acc 0.000000
step 180: dis loss 0.336990, dis acc 0.000000, gan loss 0.343370, gan acc 0.000000
step 181: dis loss 0.335425, dis acc 0.000000, gan loss 0.346871, gan acc 0.000000
step 182: dis loss 0.336573, dis acc 0.000000, gan loss 0.355205, gan acc 0.000000
step 183: dis loss 0.327738, dis acc 0.000000, gan loss 0.366153, gan acc 0.000000
step 184: dis loss 0.308852, dis acc 0.000000, gan loss 0.318256, gan acc 0.000000
step 185: dis loss 0.324034, dis acc 0.000000, gan loss 0.335088, gan acc 0.000000
step 186: dis loss 0.309450, dis acc 0.000000, gan loss 0.317107, gan acc 0.000000
step 187: dis loss 0.337037, dis acc 0.000000, gan loss 0.354137, gan acc 0.000000
step 188: dis loss 0.318753, dis acc 0.000000, gan loss 0.313641, gan acc 0.000000
step 189: dis loss 0.327178, dis acc 0.000000, gan loss 0.320844, gan acc 0.000000
step 190: dis loss 0.342755, dis acc 0.000000, gan loss 0.398033, gan acc 0.000000
step 191: dis loss 0.337136, dis acc 0.000000, gan loss 0.281448, gan acc 0.000000
step 192: dis loss 0.343444, dis acc 0.000000, gan loss 0.371915, gan acc 0.000000
step 193: dis loss 0.331463, dis acc 0.000000, gan loss 0.337471, gan acc 0.000000
step 194: dis loss 0.323465, dis acc 0.000000, gan loss 0.363801, gan acc 0.000000
step 195: dis loss 0.337915, dis acc 0.000000, gan loss 0.337208, gan acc 0.000000
step 196: dis loss 0.320035, dis acc 0.000000, gan loss 0.323748, gan acc 0.000000
step 197: dis loss 0.328721, dis acc 0.000000, gan loss 0.340719, gan acc 0.000000
step 198: dis loss 0.342894, dis acc 0.000000, gan loss 0.354215, gan acc 0.000000
step 199: dis loss 0.316631, dis acc 0.000000, gan loss 0.305947, gan acc 0.000000
step 200: dis loss 0.328018, dis acc 0.000000, gan loss 0.348334, gan acc 0.000000
step 201: dis loss 0.330052, dis acc 0.000000, gan loss 0.313014, gan acc 0.000000
step 202: dis loss 0.306051, dis acc 0.000000, gan loss 0.334237, gan acc 0.000000
step 203: dis loss 0.356896, dis acc 0.000000, gan loss 0.357507, gan acc 0.000000
step 204: dis loss 0.321060, dis acc 0.000000, gan loss 0.325230, gan acc 0.000000
step 205: dis loss 0.321347, dis acc 0.000000, gan loss 0.317543, gan acc 0.000000
step 206: dis loss 0.332099, dis acc 0.000000, gan loss 0.337773, gan acc 0.000000
